"name","Population","Parent","Count","ParentCount","Percent_Parent"
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD4-CD8-/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4-CD8-",319,320,1
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+","/Scatter/Singlets/Live/Tcells",1953,9599,0.2
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",0,1953,0
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",2,1953,0
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD8+",34,1953,0.02
"00_Ctrl.fcs_INF179","/Scatter/Singlets/Live/Tcells/CD8+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD8+",1917,1953,0.98
"00_SEB.fcs_INF052","/Scatter","root",10000,10000,1
"00_SEB.fcs_INF052","/Scatter/Singlets","/Scatter",9997,10000,1
"00_SEB.fcs_INF052","/Scatter/Singlets/Live","/Scatter/Singlets",9885,9997,0.99
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells","/Scatter/Singlets/Live",9359,9885,0.95
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+","/Scatter/Singlets/Live/Tcells",5793,9359,0.62
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",23,5793,0
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa+IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",589,5793,0.1
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg+","/Scatter/Singlets/Live/Tcells/CD4+",52,5793,0.01
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4+/TNFa-IFNg-","/Scatter/Singlets/Live/Tcells/CD4+",5129,5793,0.89
"00_SEB.fcs_INF052","/Scatter/Singlets/Live/Tcells/CD4-CD8-","/Scatter/Singlets/Live/Tcells",703,9359,0.08
